('BF', 0)      [(0.0, 0.0), (0.01479, 0.003483), (0.040004, 0.006452), (0.432416, 0.034408), (0.705322, 0.175986), (0.968913, 0.019425), (0.00094, 0.000139)]
('GS', 0)      [(0.0, 0.0), (0.0, 0.0), (0.05303, 0.017419), (0.21034, 0.047337), (0.269735, 0.098441), (0.838908, 0.120583), (0.021919, 0.014929)]
('IDP', 0)     [(0.059163, 0.017754), (0.024171, 0.005535), (0.26673, 0.014869), (0.114753, 0.017423), (0.871501, 0.095917), (0.216593, 0.033927), (0.012374, 0.000908)]
('IDP', 1)     [(0.110758, 0.023563), (0.047858, 0.009782), (0.39502, 0.017118), (0.135311, 0.022576), (0.922811, 0.06054), (0.134359, 0.029185), (0.020451, 0.001173)]
('IDP', 2)     [(0.154093, 0.027838), (0.070136, 0.013464), (0.440112, 0.020878), (0.168331, 0.027041), (0.936808, 0.049734), (0.077962, 0.01803), (0.022893, 0.001375)]
('IDP', 3)     [(0.023234, 0.011346), (0.018948, 0.003291), (0.139892, 0.010593), (0.17574, 0.017), (0.781047, 0.147085), (0.448405, 0.043679), (0.0066, 0.000599)]
('IDR', 0)     [(0.018392, 0.011176), (0.017758, 0.003584), (0.216798, 0.012001), (0.112392, 0.012726), (0.841838, 0.103992), (0.573649, 0.142872), (0.005954, 0.000386)]
('IDR', 1)     [(0.030721, 0.012638), (0.026457, 0.005167), (0.32851, 0.015734), (0.098211, 0.012857), (0.907715, 0.065715), (0.560099, 0.158747), (0.009318, 0.000522)]
('IDR', 2)     [(0.048421, 0.014984), (0.032272, 0.006534), (0.380779, 0.019193), (0.098481, 0.01454), (0.940145, 0.039808), (0.50708, 0.160677), (0.009919, 0.000572)]
('IDR', 3)     [(0.008097, 0.008668), (0.015481, 0.003203), (0.108786, 0.00951), (0.1971, 0.01909), (0.739583, 0.156094), (0.704956, 0.118437), (0.003768, 0.000343)]
('TN', 25)     [(0.043294, 0.015642), (0.01843, 0.004167), (0.150554, 0.014999), (0.152759, 0.016695), (0.810099, 0.133717), (0.23409, 0.002093), (0.003634, 0.000332)]
('TN', 50)     [(0.016968, 0.010167), (0.016345, 0.003483), (0.084513, 0.010169), (0.243581, 0.020315), (0.72701, 0.169959), (0.481323, 0.007067), (0.002356, 0.000247)]
('TN', 75)     [(0.007528, 0.008445), (0.016177, 0.003472), (0.057381, 0.008398), (0.340875, 0.027111), (0.698201, 0.178426), (0.726278, 0.01419), (0.001668, 0.000273)]
