('BF', 0)      [(0.0, 0.0), (0.003592, 0.000446), (0.008872, 0.000927), (0.444429, 0.009371), (0.714437, 0.175952), (0.996053, 0.002332), (0.034873, 0.007524)]
('GS', 0)      [(0.0, 0.0), (0.0, 0.0), (0.011472, 0.002279), (0.146714, 0.022885), (0.083944, 0.023477), (0.867635, 0.093048), (6.524631, 3.369394)]
('IDP', 0)     [(0.017985, 0.003146), (0.004075, 0.000433), (0.121652, 0.00323), (0.042712, 0.003218), (0.932495, 0.054086), (0.110189, 0.010559), (1.197869, 0.102299)]
('IDP', 1)     [(0.039347, 0.005222), (0.011131, 0.001361), (0.248691, 0.004411), (0.049363, 0.005086), (0.965251, 0.026327), (0.059937, 0.005378), (2.963293, 0.089173)]
('IDP', 2)     [(0.108887, 0.007671), (0.043056, 0.003165), (0.391838, 0.0064), (0.111993, 0.007593), (0.990804, 0.007936), (0.021362, 0.002185), (5.95751, 0.196257)]
('IDP', 3)     [(0.003662, 0.001999), (0.003438, 0.0003), (0.033227, 0.001843), (0.130561, 0.003564), (0.789836, 0.14896), (0.39742, 0.022508), (0.291828, 0.03577)]
('IDR', 0)     [(0.002441, 0.001306), (0.002895, 0.000246), (0.089665, 0.00216), (0.045619, 0.002277), (0.851888, 0.106246), (0.594482, 0.134921), (0.438856, 0.016164)]
('IDR', 1)     [(0.004598, 0.001911), (0.004919, 0.00056), (0.192621, 0.003574), (0.031566, 0.002568), (0.928996, 0.058389), (0.569784, 0.144604), (0.947087, 0.019796)]
('IDR', 2)     [(0.010417, 0.002527), (0.00842, 0.000891), (0.316572, 0.005834), (0.029601, 0.002486), (0.978027, 0.015094), (0.652384, 0.149615), (1.578774, 0.098444)]
('IDR', 3)     [(0.000692, 0.000944), (0.002635, 0.000202), (0.023762, 0.001029), (0.15342, 0.004663), (0.777466, 0.14304), (0.768473, 0.091232), (0.154324, 0.0175)]
('TN', 25)     [(0.006185, 0.001904), (0.003604, 0.000323), (0.03445, 0.002099), (0.127742, 0.003731), (0.842285, 0.125389), (0.248047, 0.0), (0.181398, 0.019767)]
('TN', 50)     [(0.002279, 0.001231), (0.003811, 0.000417), (0.018413, 0.001715), (0.240177, 0.005217), (0.749674, 0.156139), (0.497721, 0.000839), (0.120422, 0.019367)]
('TN', 75)     [(0.000977, 0.001066), (0.003664, 0.000318), (0.012024, 0.000893), (0.346007, 0.009142), (0.700806, 0.17131), (0.746989, 0.001334), (0.082229, 0.016436)]
